"","Row","Column","Block","Population","Family","Replicate","Comment","Date","Dead"
"13",1,13,"1","40","3","5","no living tissue","9/4/2020","1"
"14",1,14,"1","41","2","5","","9/4/2020","0"
"15",1,15,"1","14","2","1","","9/4/2020","0"
"16",1,16,"1","40","4","5","","9/4/2020","1"
"17",1,17,"1","15","5","5","","9/4/2020","0"
"18",1,18,"1","49","4","2","","9/4/2020","1"
"19",1,19,"1","7","2","2","","9/4/2020","0"
"20",1,20,"1","29","3","5","","9/4/2020","1"
"21",1,21,"1","15","5","2","","9/4/2020","0"
"22",1,22,"1","3","3","5","","9/4/2020","0"
"23",1,23,"1","68","4","5","","9/4/2020","0"
"24",1,24,"2","11","3","5","","9/4/2020","0"
"25",1,25,"2","36","4","2","","9/4/2020","0"
"26",1,26,"2","40","3","4","","9/4/2020","0"
"27",1,27,"2","67","3","5","","9/4/2020","0"
"28",1,28,"2","13","3","4","","9/4/2020","1"
"29",1,29,"2","5","2","2","","9/4/2020","0"
"30",1,30,"2","31","3","4","","9/4/2020","1"
"31",1,31,"2","31","1","1","","9/4/2020","0"
"32",1,32,"2","62","5","2","no living tissue","9/4/2020","1"
"33",1,33,"2","13","1","5","","9/4/2020","0"
"34",1,34,"2","13","2","3","","9/4/2020","0"
"35",1,35,"2","19","3","2","","9/4/2020","0"
"36",1,36,"2","30","3","1","","9/4/2020","0"
"37",1,37,"2","18","1","2","","9/4/2020","0"
"38",1,38,"2","31","5","1","","9/4/2020","0"
"39",1,39,"2","7","4","2","","9/4/2020","1"
"40",1,40,"2","8","1","4","","9/4/2020","0"
"41",1,41,"2","23","1","5","","9/4/2020","0"
"42",1,42,"2","4","1","3","","9/4/2020","0"
"43",1,43,"2","36","3","3","","9/4/2020","0"
"44",1,44,"2","30","4","5","","9/4/2020","0"
"45",1,45,"2","62","2","1","","9/4/2020","0"
"46",1,46,"2","6","2","4","","9/4/2020","0"
"47",2,1,"1","79","4","5","","9/4/2020","0"
"48",2,2,"1","6","2","5","","9/4/2020","0"
"49",2,3,"1","68","1","4","","9/4/2020","0"
"50",2,4,"1","39","2","1","","9/4/2020","0"
"51",2,5,"1","49","3","5","","9/4/2020","0"
"52",2,6,"1","14","5","2","","9/4/2020","0"
"53",2,7,"1","56","3","4","","9/4/2020","0"
"54",2,8,"1","27","2","5","","9/4/2020","1"
"55",2,9,"1","21","3","4","","9/4/2020","0"
"56",2,10,"1","14","2","2","","9/4/2020","0"
"57",2,11,"1","72","2","1","","9/4/2020","0"
"58",2,12,"1","2","1","1","","9/4/2020","0"
"59",2,13,"1","36","2","4","","9/4/2020","0"
"60",2,14,"1","35","2","1","","9/4/2020","0"
"61",2,15,"1","15","3","4","","9/4/2020","0"
"62",2,16,"1","40","2","2","","9/4/2020","0"
"63",2,17,"1","46","1","5","","9/4/2020","0"
"64",2,18,"1","6","4","2","","9/4/2020","0"
"65",2,19,"1","9","1","3","","9/4/2020","0"
"66",2,20,"1","18","5","1","","9/4/2020","0"
"67",2,21,"1","79","1","4","","9/4/2020","0"
"68",2,22,"1","77","1","5","","9/4/2020","0"
"69",2,23,"1","31","4","2","","9/4/2020","0"
"70",2,24,"2","47","2","3","","9/4/2020","0"
"71",2,25,"2","68","5","3","","9/4/2020","0"
"72",2,26,"2","28","1","4","","9/4/2020","0"
"73",2,27,"2","14","3","5","no living tissue","9/4/2020","1"
"74",2,28,"2","2","5","5","","9/4/2020","0"
"75",2,29,"2","42","2","2","","9/4/2020","1"
"76",2,30,"2","41","1","1","","9/4/2020","0"
"77",2,31,"2","68","3","3","","9/4/2020","0"
"78",2,32,"2","14","4","2","","9/4/2020","1"
"79",2,33,"2","72","1","2","","9/4/2020","0"
"80",2,34,"2","2","4","3","","9/4/2020","0"
"81",2,35,"2","4","1","2","","9/4/2020","0"
"82",2,36,"2","49","4","3","","9/4/2020","0"
"83",2,37,"2","17","2","4","","9/4/2020","0"
"84",2,38,"2","6","1","3","","9/4/2020","0"
"85",2,39,"2","77","2","2","","9/4/2020","0"
"86",2,40,"2","47","2","4","","9/4/2020","0"
"87",2,41,"2","64","1","3","","9/4/2020","0"
"88",2,42,"2","57","5","1","","9/4/2020","0"
"89",2,43,"2","57","1","4","","9/4/2020","0"
"90",2,44,"2","15","2","3","","9/4/2020","0"
"91",2,45,"2","79","5","2","","9/4/2020","0"
"92",2,46,"2","17","5","4","","9/4/2020","0"
"93",3,1,"1","12","5","1","","9/4/2020","0"
"94",3,2,"1","68","3","4","","9/4/2020","0"
"95",3,3,"1","14","5","1","","9/4/2020","0"
"96",3,4,"1","9","2","2","","9/4/2020","0"
"97",3,5,"1","13","5","5","","9/4/2020","0"
"98",3,6,"1","1","1","2","","9/4/2020","0"
"99",3,7,"1","68","3","5","","9/4/2020","0"
"100",3,8,"1","15","4","1","","9/4/2020","0"
"101",3,9,"1","4","3","5","","9/4/2020","0"
"102",3,10,"1","2","5","3","","9/4/2020","0"
"103",3,11,"1","49","3","4","","9/4/2020","0"
"104",3,12,"1","15","2","4","","9/4/2020","0"
"105",3,13,"1","39","2","2","","9/4/2020","0"
"106",3,14,"1","2","2","5","","9/4/2020","0"
"107",3,15,"1","64","3","2","","9/4/2020","0"
"108",3,16,"1","31","2","2","","9/4/2020","0"
"109",3,17,"1","8","2","5","","9/4/2020","0"
"110",3,18,"1","17","1","1","","9/4/2020","0"
"111",3,19,"1","18","1","4","","9/4/2020","0"
"112",3,20,"1","36","2","2","","9/4/2020","0"
"113",3,21,"1","7","3","1","","9/4/2020","0"
"114",3,22,"1","69","2","1","","9/4/2020","0"
"115",3,23,"1","30","5","4","","9/4/2020","0"
"116",3,24,"2","4","4","5","","9/3/2020","0"
"117",3,25,"2","16","3","4","","9/3/2020","0"
"118",3,26,"2","62","3","1","","9/3/2020","0"
"119",3,27,"2","39","4","2","","9/3/2020","0"
"120",3,28,"2","77","3","2","","9/3/2020","0"
"121",3,29,"2","4","4","4","","9/3/2020","0"
"122",3,30,"2","72","1","3","","9/3/2020","0"
"123",3,31,"2","56","4","4","","9/3/2020","0"
"124",3,32,"2","36","3","5","","9/3/2020","1"
"125",3,33,"2","21","2","5","","9/3/2020","0"
"126",3,34,"2","31","1","3","","9/3/2020","0"
"127",3,35,"2","77","5","5","","9/3/2020","0"
"128",3,36,"2","72","2","3","","9/3/2020","0"
"129",3,37,"2","56","2","1","","9/3/2020","0"
"130",3,38,"2","46","2","3","","9/3/2020","0"
"131",3,39,"2","49","5","3","","9/3/2020","0"
"132",3,40,"2","12","5","3","","9/3/2020","0"
"133",3,41,"2","67","4","3","","9/3/2020","0"
"134",3,42,"2","46","2","2","","9/3/2020","0"
"135",3,43,"2","40","5","2","","9/3/2020","0"
"136",3,44,"2","67","2","5","","9/3/2020","0"
"137",3,45,"2","1","1","5","","9/3/2020","0"
"138",3,46,"2","19","1","1","","9/3/2020","0"
"139",4,1,"1","21","4","1","","9/3/2020","0"
"140",4,2,"1","79","2","1","","9/3/2020","0"
"141",4,3,"1","12","4","1","","9/3/2020","0"
"142",4,4,"1","47","3","5","","9/3/2020","0"
"143",4,5,"1","47","1","1","","9/3/2020","0"
"144",4,6,"1","21","2","3","","9/3/2020","0"
"145",4,7,"1","1","2","1","","9/3/2020","0"
"146",4,8,"1","1","2","2","","9/3/2020","0"
"147",4,9,"1","30","4","3","","9/3/2020","0"
"148",4,10,"1","61","5","1","","9/3/2020","1"
"149",4,11,"1","1","4","1","","9/3/2020","0"
"150",4,12,"1","6","4","5","","9/3/2020","1"
"151",4,13,"1","17","4","4","","9/3/2020","0"
"152",4,14,"1","79","4","4","","9/3/2020","0"
"153",4,15,"1","36","2","1","","9/3/2020","0"
"154",4,16,"1","4","1","1","","9/3/2020","0"
"155",4,17,"1","56","4","2","","9/3/2020","0"
"156",4,18,"1","67","1","4","","9/3/2020","0"
"157",4,19,"1","2","3","1","","9/3/2020","0"
"158",4,20,"1","8","1","1","","9/3/2020","0"
"159",4,21,"1","72","5","5","","9/3/2020","0"
"160",4,22,"1","12","4","4","","9/3/2020","1"
"161",4,23,"1","74","2","5","","9/3/2020","0"
"162",4,24,"2","77","1","4","","9/3/2020","0"
"163",4,25,"2","15","2","5","","9/3/2020","0"
"164",4,26,"2","56","2","3","","9/3/2020","0"
"165",4,27,"2","32","1","2","","9/3/2020","0"
"166",4,28,"2","68","4","3","","9/3/2020","0"
"167",4,29,"2","23","1","2","","9/3/2020","0"
"168",4,30,"2","4","1","4","","9/3/2020","0"
"169",4,31,"2","6","3","1","","9/3/2020","0"
"170",4,32,"2","72","5","3","","9/3/2020","0"
"171",4,33,"2","4","3","2","","9/3/2020","0"
"172",4,34,"2","51","4","3","","9/3/2020","0"
"173",4,35,"2","20","3","2","","9/3/2020","1"
"174",4,36,"2","7","5","5","","9/3/2020","0"
"175",4,37,"2","36","5","3","","9/3/2020","0"
"176",4,38,"2","40","5","3","","9/3/2020","0"
"177",4,39,"2","18","1","1","","9/3/2020","0"
"178",4,40,"2","36","1","4","","9/3/2020","0"
"179",4,41,"2","36","1","5","","9/3/2020","0"
"180",4,42,"2","2","2","2","","9/3/2020","0"
"181",4,43,"2","1","3","5","","9/3/2020","0"
"182",4,44,"2","61","4","4","","9/3/2020","0"
"183",4,45,"2","18","5","2","","9/3/2020","0"
"184",4,46,"2","46","4","1","","9/3/2020","0"
"185",5,1,"1","77","1","1","","9/3/2020","0"
"186",5,2,"1","21","5","3","","9/3/2020","0"
"187",5,3,"1","19","3","5","","9/3/2020","0"
"188",5,4,"1","56","3","3","","9/3/2020","1"
"189",5,5,"1","32","1","3","","9/3/2020","0"
"190",5,6,"1","8","3","5","","9/3/2020","0"
"191",5,7,"1","11","1","2","","9/3/2020","0"
"192",5,8,"1","4","5","2","","9/3/2020","0"
"193",5,9,"1","28","1","3","","9/3/2020","1"
"194",5,10,"1","29","1","3","","9/3/2020","1"
"195",5,11,"1","3","2","4","","9/3/2020","0"
"196",5,12,"1","23","1","5","","9/3/2020","0"
"197",5,13,"1","21","3","1","","9/3/2020","0"
"198",5,14,"1","49","2","3","","9/3/2020","0"
"199",5,15,"1","72","3","5","","9/3/2020","0"
"200",5,16,"1","47","1","5","","9/3/2020","0"
"201",5,17,"1","47","3","3","","9/3/2020","0"
"202",5,18,"1","46","5","3","","9/3/2020","0"
"203",5,19,"1","21","3","5","","9/3/2020","0"
"204",5,20,"1","9","1","5","","9/3/2020","0"
"205",5,21,"1","47","4","5","","9/3/2020","0"
"206",5,22,"1","13","1","4","","9/3/2020","0"
"207",5,23,"2","3","4","3","","9/3/2020","0"
"208",5,24,"2","62","1","1","no living tissue","9/3/2020","1"
"209",5,25,"2","12","5","2","","9/3/2020","0"
"210",5,26,"2","74","2","1","","9/3/2020","0"
"211",5,27,"2","30","5","2","","9/3/2020","0"
"212",5,28,"2","79","1","3","","9/3/2020","0"
"213",5,29,"2","17","1","3","","9/3/2020","0"
"214",5,30,"2","6","5","4","","9/3/2020","0"
"215",5,31,"2","77","4","2","","9/3/2020","0"
"216",5,32,"2","27","5","3","","9/3/2020","0"
"217",5,33,"2","40","3","1","","9/3/2020","0"
"218",5,34,"2","67","5","1","","9/3/2020","0"
"219",5,35,"2","17","5","1","","9/3/2020","0"
"220",5,36,"2","41","1","5","","9/3/2020","0"
"221",5,37,"2","8","3","3","","9/3/2020","0"
"222",5,38,"2","72","4","3","","9/3/2020","0"
"223",5,39,"2","77","5","1","","9/3/2020","0"
"224",5,40,"2","14","1","4","","9/3/2020","0"
"225",5,41,"2","2","1","5","","9/3/2020","0"
"226",5,42,"2","39","5","3","","9/3/2020","0"
"227",5,43,"2","36","3","4","","9/3/2020","0"
"228",5,44,"2","69","1","4","","9/3/2020","0"
"229",5,45,"2","64","1","2","","9/3/2020","0"
"230",5,46,"2","29","5","4","","9/3/2020","0"
"231",6,1,"1","36","4","4","","9/3/2020","0"
"232",6,2,"1","61","4","5","","9/3/2020","0"
"233",6,3,"1","2","2","3","","9/3/2020","0"
"234",6,4,"1","27","3","3","","9/3/2020","0"
"235",6,5,"1","11","2","4","","9/3/2020","0"
"236",6,6,"1","12","1","4","","9/3/2020","0"
"237",6,7,"1","57","5","3","","9/3/2020","0"
"238",6,8,"1","7","5","3","","9/3/2020","0"
"239",6,9,"1","21","4","4","","9/3/2020","0"
"240",6,10,"1","49","4","5","","9/3/2020","0"
"241",6,11,"1","40","5","5","","9/3/2020","0"
"242",6,12,"1","7","5","2","","9/3/2020","0"
"243",6,13,"1","46","5","1","","9/3/2020","0"
"244",6,14,"1","36","2","5","","9/3/2020","0"
"245",6,15,"1","26","1","2","very eaten","9/3/2020","0"
"246",6,16,"1","51","2","1","","9/3/2020","0"
"247",6,17,"1","46","1","3","","9/3/2020","1"
"248",6,18,"1","6","2","1","","9/3/2020","1"
"249",6,19,"1","19","5","2","","9/3/2020","0"
"250",6,20,"1","3","5","1","","9/3/2020","0"
"251",6,21,"1","29","4","5","","9/3/2020","1"
"252",6,22,"1","79","4","1","","9/3/2020","0"
"253",6,23,"2","21","2","2","very eaten","9/3/2020","0"
"254",6,24,"2","77","4","5","","9/3/2020","0"
"255",6,25,"2","72","2","4","","9/3/2020","0"
"256",6,26,"2","1","1","3","","9/3/2020","0"
"257",6,27,"2","5","5","3","","9/3/2020","0"
"258",6,28,"2","36","1","1","","9/3/2020","0"
"259",6,29,"2","62","3","4","","9/3/2020","0"
"260",6,30,"2","12","5","4","","9/3/2020","0"
"261",6,31,"2","18","4","3","","9/3/2020","0"
"262",6,32,"2","18","2","1","","9/3/2020","0"
"263",6,33,"2","14","1","1","","9/3/2020","0"
"264",6,34,"2","57","5","2","","9/3/2020","1"
"265",6,35,"2","1","3","4","","9/3/2020","0"
"266",6,36,"2","74","2","3","","9/3/2020","0"
"267",6,37,"2","17","3","2","","9/3/2020","0"
"268",6,38,"2","1","4","5","","9/3/2020","0"
"269",6,39,"2","62","4","1","","9/3/2020","0"
"270",6,40,"2","17","2","1","","9/3/2020","0"
"271",6,41,"2","42","1","2","","9/3/2020","0"
"272",6,42,"2","4","3","4","","9/3/2020","1"
"273",6,43,"2","79","2","5","","9/3/2020","0"
"274",6,44,"2","17","5","2","","9/3/2020","0"
"275",6,45,"2","18","2","4","","9/3/2020","0"
"276",6,46,"2","7","4","3","","9/3/2020","0"
"277",7,1,"1","3","2","5","","9/3/2020","0"
"278",7,2,"1","6","2","3","","9/3/2020","1"
"279",7,3,"1","7","1","3","","9/3/2020","0"
"280",7,4,"1","47","2","2","very eaten","9/3/2020","0"
"281",7,5,"1","62","1","5","","9/3/2020","0"
"282",7,6,"1","64","2","3","","9/3/2020","1"
"283",7,7,"1","67","2","1","","9/3/2020","0"
"284",7,8,"1","5","5","4","","9/3/2020","0"
"285",7,9,"1","39","2","4","","9/3/2020","0"
"286",7,10,"1","79","3","4","","9/3/2020","0"
"287",7,11,"1","47","4","4","","9/3/2020","0"
"288",7,12,"1","4","4","2","","9/3/2020","0"
"289",7,13,"1","19","2","2","","9/3/2020","0"
"290",7,14,"1","46","5","5","","9/3/2020","0"
"291",7,15,"1","7","4","4","very eaten","9/3/2020","0"
"292",7,16,"1","68","1","5","","9/3/2020","0"
"293",7,17,"1","5","2","4","","9/3/2020","0"
"294",7,18,"1","5","3","2","","9/3/2020","0"
"295",7,19,"1","29","1","2","","9/3/2020","0"
"296",7,20,"1","79","3","3","","9/3/2020","0"
"297",7,21,"1","35","3","2","","9/3/2020","0"
"298",7,22,"1","35","4","4","","9/3/2020","0"
"299",7,23,"2","14","4","4","","9/3/2020","1"
"300",7,24,"2","7","2","3","","9/3/2020","0"
"301",7,25,"2","12","2","4","no living tissue","9/3/2020","1"
"302",7,26,"2","67","1","5","","9/3/2020","0"
"303",7,27,"2","30","2","4","","9/3/2020","0"
"304",7,28,"2","8","2","2","","9/3/2020","0"
"305",7,29,"2","39","2","5","","9/3/2020","0"
"306",7,30,"2","56","3","5","","9/3/2020","0"
"307",7,31,"2","62","2","3","","9/3/2020","0"
"308",7,32,"2","5","1","4","","9/3/2020","1"
"309",7,33,"2","12","2","2","","9/3/2020","0"
"310",7,34,"2","57","4","5","","9/3/2020","0"
"311",7,35,"2","62","3","5","","9/3/2020","1"
"312",7,36,"2","79","5","1","","9/3/2020","0"
"313",7,37,"2","1","1","1","","9/3/2020","0"
"314",7,38,"2","64","3","4","","9/3/2020","0"
"315",7,39,"2","19","5","3","","9/3/2020","0"
"316",7,40,"2","30","4","4","","9/3/2020","0"
"317",7,41,"2","16","3","5","","9/3/2020","0"
"318",7,42,"2","13","3","1","","9/3/2020","1"
"319",7,43,"2","27","4","3","","9/3/2020","1"
"320",7,44,"2","11","2","5","no living tissue","9/3/2020","1"
"321",7,45,"2","2","5","4","","9/3/2020","1"
"322",7,46,"2","29","5","2","","9/3/2020","0"
"323",8,1,"1","9","2","1","","9/2/2020","1"
"324",8,2,"1","57","1","2","","9/2/2020","0"
"325",8,3,"1","67","3","2","","9/2/2020","0"
"326",8,4,"1","21","5","1","","9/2/2020","0"
"327",8,5,"1","13","5","4","","9/2/2020","0"
"328",8,6,"1","74","1","3","","9/2/2020","0"
"329",8,7,"1","17","1","4","","9/2/2020","0"
"330",8,8,"1","15","4","4","","9/2/2020","0"
"331",8,9,"1","7","3","2","","9/2/2020","0"
"332",8,10,"1","12","3","2","","9/2/2020","0"
"333",8,11,"1","11","4","5","","9/2/2020","0"
"334",8,12,"1","20","5","1","","9/2/2020","0"
"335",8,13,"1","72","4","5","","9/2/2020","0"
"336",8,14,"1","62","2","5","","9/2/2020","0"
"337",8,15,"1","15","1","5","","9/2/2020","0"
"338",8,16,"1","14","3","2","","9/2/2020","0"
"339",8,17,"1","57","3","2","very eaten","9/2/2020","0"
"340",8,18,"1","62","1","2","","9/2/2020","0"
"341",8,19,"1","47","5","1","","9/2/2020","0"
"342",8,20,"1","15","5","1","","9/2/2020","0"
"343",8,21,"1","16","2","1","","9/2/2020","0"
"344",8,22,"1","29","4","3","","9/2/2020","0"
"345",8,23,"2","68","5","2","","9/2/2020","0"
"346",8,24,"2","4","2","2","","9/2/2020","0"
"347",8,25,"2","46","2","5","","9/2/2020","0"
"348",8,26,"2","68","4","1","","9/2/2020","0"
"349",8,27,"2","6","3","5","","9/2/2020","0"
"350",8,28,"2","7","1","2","","9/2/2020","0"
"351",8,29,"2","35","3","5","","9/2/2020","0"
"352",8,30,"2","39","3","3","","9/2/2020","0"
"353",8,31,"2","62","4","4","","9/2/2020","0"
"354",8,32,"2","4","3","3","","9/2/2020","0"
"355",8,33,"2","21","1","2","","9/2/2020","0"
"356",8,34,"2","77","4","3","","9/2/2020","0"
"357",8,35,"2","17","4","2","","9/2/2020","0"
"358",8,36,"2","27","5","2","","9/2/2020","0"
"359",8,37,"2","26","1","1","","9/2/2020","0"
"360",8,38,"2","17","3","1","","9/2/2020","0"
"361",8,39,"2","5","4","1","","9/2/2020","0"
"362",8,40,"2","39","3","5","","9/2/2020","0"
"363",8,41,"2","64","2","2","","9/2/2020","0"
"364",8,42,"2","64","3","3","","9/2/2020","0"
"365",8,43,"2","39","4","1","","9/2/2020","0"
"366",8,44,"2","62","1","3","","9/2/2020","0"
"367",8,45,"2","67","2","2","","9/2/2020","0"
"368",8,46,"2","67","5","3","","9/2/2020","1"
"369",9,1,"1","28","1","5","","9/2/2020","0"
"370",9,2,"1","4","3","1","","9/2/2020","0"
"371",9,3,"1","12","3","1","","9/2/2020","1"
"372",9,4,"1","27","4","1","","9/2/2020","0"
"373",9,5,"1","1","4","3","","9/2/2020","0"
"374",9,6,"1","49","5","5","","9/2/2020","0"
"375",9,7,"1","39","3","4","","9/2/2020","0"
"376",9,8,"1","77","3","1","","9/2/2020","0"
"377",9,9,"1","3","2","2","","9/2/2020","0"
"378",9,10,"1","69","2","4","","9/2/2020","1"
"379",9,11,"1","17","2","5","","9/2/2020","0"
"380",9,12,"1","51","4","2","","9/2/2020","0"
"381",9,13,"1","79","1","1","","9/2/2020","0"
"382",9,14,"1","5","5","5","","9/2/2020","1"
"383",9,15,"1","13","5","2","","9/2/2020","0"
"384",9,16,"1","30","5","3","","9/2/2020","0"
"385",9,17,"1","39","3","2","","9/2/2020","0"
"386",9,18,"1","20","1","2","","9/2/2020","1"
"387",9,19,"1","72","3","1","","9/2/2020","0"
"388",9,20,"1","7","3","3","","9/2/2020","0"
"389",9,21,"1","79","4","2","","9/2/2020","0"
"390",9,22,"1","15","3","5","","9/2/2020","1"
"391",9,23,"2","45","2","1","","9/2/2020","0"
"392",9,24,"2","27","4","5","","9/2/2020","0"
"393",9,25,"2","64","5","3","","9/2/2020","0"
"394",9,26,"2","77","1","2","","9/2/2020","0"
"395",9,27,"2","64","2","4","","9/2/2020","1"
"396",9,28,"2","7","3","5","","9/2/2020","0"
"397",9,29,"2","35","4","1","","9/2/2020","0"
"398",9,30,"2","36","4","1","","9/2/2020","0"
"399",9,31,"2","45","2","4","","9/2/2020","0"
"400",9,32,"2","15","3","1","","9/2/2020","0"
"401",9,33,"2","77","5","3","","9/2/2020","0"
"402",9,34,"2","36","3","1","","9/2/2020","1"
"403",9,35,"2","49","3","1","","9/2/2020","0"
"404",9,36,"2","39","5","2","","9/2/2020","0"
"405",9,37,"2","6","4","4","","9/2/2020","0"
"406",9,38,"2","57","5","4","","9/2/2020","0"
"407",9,39,"2","15","5","4","","9/2/2020","0"
"408",9,40,"2","62","5","5","","9/2/2020","0"
"409",9,41,"2","17","3","5","no living tissue","9/2/2020","1"
"410",9,42,"2","47","5","4","","9/2/2020","0"
"411",9,43,"2","35","2","2","","9/2/2020","0"
"412",9,44,"2","5","2","3","","9/2/2020","0"
"413",9,45,"2","72","3","4","","9/2/2020","0"
"414",9,46,"2","1","1","4","","9/2/2020","0"
"415",10,1,"1","14","4","5","","9/2/2020","0"
"416",10,2,"1","62","4","5","","9/2/2020","0"
"417",10,3,"1","79","3","1","","9/2/2020","0"
"418",10,4,"1","56","4","1","","9/2/2020","0"
"419",10,5,"1","1","5","2","","9/2/2020","0"
"420",10,6,"1","62","4","2","","9/2/2020","0"
"421",10,7,"1","7","3","4","","9/2/2020","1"
"422",10,8,"1","42","1","1","","9/2/2020","0"
"423",10,9,"1","69","1","2","","9/2/2020","0"
"424",10,10,"1","67","4","5","","9/2/2020","0"
"425",10,11,"1","16","3","3","","9/2/2020","0"
"426",10,12,"1","72","4","4","","9/2/2020","0"
"427",10,13,"1","12","3","4","","9/2/2020","0"
"428",10,14,"1","42","2","1","","9/2/2020","0"
"429",10,15,"1","61","3","3","","9/2/2020","0"
"430",10,16,"1","23","1","4","","9/2/2020","0"
"431",10,17,"1","17","5","3","","9/2/2020","0"
"432",10,18,"1","72","1","5","","9/2/2020","0"
"433",10,19,"1","9","2","4","","9/2/2020","0"
"434",10,20,"1","31","2","1","","9/2/2020","0"
"435",10,21,"1","47","5","2","","9/2/2020","1"
"436",10,22,"1","46","1","1","","9/2/2020","0"
"437",10,23,"1","31","3","3","","9/2/2020","0"
"438",10,24,"2","5","3","5","","9/2/2020","0"
"439",10,25,"2","14","1","3","","9/2/2020","0"
"440",10,26,"2","3","5","4","","9/2/2020","0"
"441",10,27,"2","30","3","3","","9/2/2020","0"
"442",10,28,"2","61","4","1","","9/2/2020","0"
"443",10,29,"2","31","5","2","","9/2/2020","0"
"444",10,30,"2","41","2","4","","9/2/2020","0"
"445",10,31,"2","47","4","1","","9/2/2020","0"
"446",10,32,"2","16","1","2","","9/2/2020","1"
"447",10,33,"2","28","4","5","no living tissue","9/2/2020","1"
"448",10,34,"2","5","5","2","","9/2/2020","0"
"449",10,35,"2","56","2","4","","9/2/2020","0"
"450",10,36,"2","72","5","1","","9/2/2020","0"
"451",10,37,"2","57","1","1","","9/2/2020","0"
"452",10,38,"2","57","1","3","","9/2/2020","0"
"453",10,39,"2","79","3","5","","9/2/2020","0"
"454",10,40,"2","68","4","4","","9/2/2020","0"
"455",10,41,"4","15","2","1","","9/2/2020","0"
"456",10,42,"4","5","4","4","","9/2/2020","0"
"457",10,43,"4","32","1","4","","9/2/2020","1"
"458",10,44,"4","61","1","1","","9/2/2020","0"
"459",10,45,"4","31","3","2","","9/2/2020","0"
"460",10,46,"4","47","4","2","","9/2/2020","0"
"461",11,1,"1","64","1","1","no living tissue","9/1/2020","1"
"462",11,2,"1","3","4","1","","9/1/2020","0"
"463",11,3,"1","11","1","3","","9/1/2020","0"
"464",11,4,"1","11","3","2","no living tissue","9/1/2020","1"
"465",11,5,"1","18","3","1","","9/1/2020","0"
"466",11,6,"1","29","4","1","","9/1/2020","1"
"467",11,7,"1","35","5","3","","9/1/2020","0"
"468",11,8,"1","64","1","4","","9/1/2020","0"
"469",11,9,"1","2","1","2","","9/1/2020","0"
"470",11,10,"1","64","5","1","","9/1/2020","0"
"471",11,11,"1","36","1","2","","9/1/2020","0"
"472",11,12,"1","67","5","5","","9/1/2020","0"
"473",11,13,"1","61","1","5","","9/1/2020","0"
"474",11,14,"1","74","2","2","","9/1/2020","0"
"475",11,15,"1","68","2","5","","9/1/2020","0"
"476",11,16,"1","29","2","2","","9/1/2020","1"
"477",11,17,"1","40","5","1","","9/1/2020","0"
"478",11,18,"1","1","2","4","","9/1/2020","0"
"479",11,19,"1","74","1","5","","9/1/2020","0"
"480",11,20,"1","2","4","5","","9/1/2020","0"
"481",11,21,"1","4","2","4","","9/1/2020","0"
"482",11,22,"1","9","1","2","","9/1/2020","0"
"483",11,23,"1","39","5","1","","9/1/2020","0"
"484",11,24,"4","57","2","1","","9/1/2020","0"
"485",11,25,"4","17","4","1","","9/1/2020","1"
"486",11,26,"4","67","1","3","","9/1/2020","0"
"487",11,27,"4","42","2","4","","9/1/2020","0"
"488",11,28,"4","12","2","1","","9/1/2020","0"
"489",11,29,"4","30","2","1","","9/1/2020","0"
"490",11,30,"4","4","4","1","","9/1/2020","0"
"491",11,31,"4","17","4","5","","9/1/2020","0"
"492",11,32,"4","35","4","3","","9/1/2020","0"
"493",11,33,"4","68","5","5","","9/1/2020","0"
"494",11,34,"4","67","1","2","","9/1/2020","0"
