"","Row","Column","Block","Population","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flowered2022"
"13",1,13,"1","40","3","5",NA,NA,NA,NA,NA,NA,"0"
"14",1,14,"1","41","2","5",NA,NA,NA,NA,NA,NA,"0"
"15",1,15,"1","14","2","1",NA,NA,NA,NA,NA,NA,"0"
"16",1,16,"1","40","4","5",NA,NA,NA,NA,NA,NA,"0"
"17",1,17,"1","15","5","5",NA,"6/29/2022","7/13/2022",NA,0,5,"1"
"18",1,18,"1","49","4","2",NA,NA,NA,NA,NA,NA,"0"
"19",1,19,"1","7","2","2",NA,NA,NA,NA,NA,NA,"0"
"20",1,20,"1","29","3","5",NA,NA,NA,NA,NA,NA,"0"
"21",1,21,"1","15","5","2",NA,"7/1/2022","7/18/2022","7/25/2022",10,8,"1"
"22",1,22,"1","3","3","5",NA,NA,NA,NA,NA,NA,"0"
"23",1,23,"1","68","4","5",NA,NA,NA,NA,NA,NA,"0"
"24",1,24,"2","11","3","5",NA,"7/6/2022","7/25/2022","7/27/2022",15,15,"1"
"25",1,25,"2","36","4","2",NA,NA,NA,NA,NA,NA,"0"
"26",1,26,"2","40","3","4",NA,NA,NA,NA,NA,NA,"0"
"27",1,27,"2","67","3","5",NA,NA,NA,NA,NA,NA,"0"
"28",1,28,"2","13","3","4",NA,NA,NA,NA,NA,NA,"0"
"29",1,29,"2","5","2","2",NA,NA,NA,NA,NA,NA,"0"
"30",1,30,"2","31","3","4",NA,"7/8/2022","7/13/2022",NA,0,3,"1"
"31",1,31,"2","31","1","1",NA,"7/4/2022","7/11/2022","7/29/2022",5,3,"1"
"32",1,32,"2","62","5","2",NA,NA,NA,NA,NA,NA,"0"
"33",1,33,"2","13","1","5",NA,NA,NA,NA,NA,NA,"0"
"34",1,34,"2","13","2","3",NA,NA,NA,NA,NA,NA,"0"
"35",1,35,"2","19","3","2",NA,NA,NA,NA,NA,NA,"0"
"36",1,36,"2","30","3","1",NA,NA,NA,NA,NA,NA,"0"
"37",1,37,"2","18","1","2",NA,"7/8/2022","7/18/2022","8/2/2022",7,5,"1"
"38",1,38,"2","31","5","1",NA,NA,NA,NA,NA,NA,"0"
"39",1,39,"2","7","4","2",NA,NA,NA,NA,NA,NA,"0"
"40",1,40,"2","8","1","4",NA,"7/4/2022","7/8/2022","7/27/2022",4,2,"1"
"41",1,41,"2","23","1","5",NA,NA,NA,NA,NA,NA,"0"
"42",1,42,"2","4","1","3",NA,"7/11/2022","7/18/2022","8/2/2022",8,3,"1"
"43",1,43,"2","36","3","3",NA,"6/29/2022","7/18/2022","7/25/2022",31,11,"1"
"44",1,44,"2","30","4","5",NA,NA,NA,NA,NA,NA,"0"
"45",1,45,"2","62","2","1",NA,NA,NA,NA,NA,NA,"0"
"46",1,46,"2","6","2","4",NA,NA,NA,NA,NA,NA,"0"
"47",2,1,"1","79","4","5","only 1 inflor and only 1 flower left ","7/18/2022","7/18/2022",NA,0,1,"1"
"48",2,2,"1","6","2","5",NA,"6/27/2022","7/13/2022","7/20/2022",17,9,"1"
"49",2,3,"1","68","1","4",NA,"7/4/2022","7/6/2022","8/2/2022",2,3,"1"
"50",2,4,"1","39","2","1",NA,"7/1/2022","7/20/2022","7/25/2022",13,8,"1"
"51",2,5,"1","49","3","5",NA,"7/4/2022","7/11/2022","8/4/2022",3,3,"1"
"52",2,6,"1","14","5","2",NA,NA,NA,NA,NA,NA,"0"
"53",2,7,"1","56","3","4",NA,NA,NA,NA,NA,NA,"0"
"54",2,8,"1","27","2","5",NA,NA,NA,NA,NA,NA,"0"
"55",2,9,"1","21","3","4",NA,"7/6/2022","7/8/2022","8/4/2022",1,3,"1"
"56",2,10,"1","14","2","2",NA,NA,NA,NA,NA,NA,"0"
"57",2,11,"1","72","2","1",NA,NA,NA,NA,NA,NA,"0"
"58",2,12,"1","2","1","1",NA,NA,NA,NA,NA,NA,"0"
"59",2,13,"1","36","2","4","only 1 inflor","7/11/2022","7/11/2022","8/8/2022",4,1,"1"
"60",2,14,"1","35","2","1",NA,"7/11/2022","7/25/2022","8/4/2022",14,6,"1"
"61",2,15,"1","15","3","4",NA,NA,NA,NA,NA,NA,"0"
"62",2,16,"1","40","2","2","only 2 inflor ","7/6/2022","7/8/2022",NA,0,2,"1"
"63",2,17,"1","46","1","5",NA,NA,NA,NA,NA,NA,"0"
"64",2,18,"1","6","4","2",NA,"7/6/2022","7/25/2022","7/27/2022",10,7,"1"
"65",2,19,"1","9","1","3",NA,NA,NA,NA,NA,NA,"0"
"66",2,20,"1","18","5","1",NA,NA,NA,NA,NA,NA,"0"
"67",2,21,"1","79","1","4",NA,NA,NA,NA,NA,NA,"0"
"68",2,22,"1","77","1","5",NA,"6/29/2022","7/6/2022","7/22/2022",15,5,"1"
"69",2,23,"1","31","4","2","only 2 inflor","6/29/2022","7/6/2022","7/27/2022",4,4,"1"
"70",2,24,"2","47","2","3",NA,NA,NA,NA,NA,NA,"0"
"71",2,25,"2","68","5","3",NA,"6/29/2022","7/13/2022","7/25/2022",25,11,"1"
"72",2,26,"2","28","1","4",NA,"7/13/2022","7/18/2022","8/8/2022",8,4,"1"
"73",2,27,"2","14","3","5",NA,NA,NA,NA,NA,NA,"0"
"74",2,28,"2","2","5","5",NA,NA,NA,NA,NA,NA,"0"
"75",2,29,"2","42","2","2",NA,NA,NA,NA,NA,NA,"0"
"76",2,30,"2","41","1","1","only 2 inflor ","7/22/2022","7/25/2022","8/19/2022",2,2,"1"
"77",2,31,"2","68","3","3",NA,NA,NA,NA,NA,NA,"0"
"78",2,32,"2","14","4","2",NA,NA,NA,NA,NA,NA,"0"
"79",2,33,"2","72","1","2",NA,NA,NA,NA,NA,NA,"0"
"80",2,34,"2","2","4","3",NA,NA,NA,NA,NA,NA,"0"
"81",2,35,"2","4","1","2",NA,NA,NA,NA,NA,NA,"0"
"82",2,36,"2","49","4","3",NA,NA,NA,NA,NA,NA,"0"
"83",2,37,"2","17","2","4",NA,NA,NA,NA,NA,NA,"0"
"84",2,38,"2","6","1","3",NA,NA,NA,NA,NA,NA,"0"
"85",2,39,"2","77","2","2",NA,"7/8/2022","7/27/2022","8/12/2022",26,15,"1"
"86",2,40,"2","47","2","4",NA,"7/8/2022","7/18/2022","8/2/2022",7,5,"1"
"87",2,41,"2","64","1","3",NA,"7/1/2022","7/27/2022","7/27/2022",35,18,"1"
"88",2,42,"2","57","5","1",NA,NA,NA,NA,NA,NA,"0"
"89",2,43,"2","57","1","4","only 2 inflor ","7/18/2022","7/20/2022",NA,0,2,"1"
"90",2,44,"2","15","2","3","only 2 inflor ","7/1/2022","7/22/2022",NA,0,2,"1"
"91",2,45,"2","79","5","2",NA,"7/1/2022","7/22/2022","7/27/2022",1,2,"1"
"92",2,46,"2","17","5","4",NA,NA,NA,NA,NA,NA,"0"
"93",3,1,"1","12","5","1",NA,"6/27/2022","7/18/2022","8/2/2022",20,15,"1"
"94",3,2,"1","68","3","4","only 1 inflor","7/4/2022","7/8/2022","8/2/2022",1,2,"1"
"95",3,3,"1","14","5","1",NA,"7/4/2022","8/4/2022","7/27/2022",18,13,"1"
"96",3,4,"1","9","2","2",NA,"7/8/2022","7/22/2022","8/10/2022",5,6,"1"
"97",3,5,"1","13","5","5","3rd inflor only has one left","7/4/2022","7/18/2022","7/29/2022",13,5,"1"
"98",3,6,"1","1","1","2",NA,NA,NA,NA,NA,NA,"0"
"99",3,7,"1","68","3","5",NA,NA,NA,NA,NA,NA,"0"
"100",3,8,"1","15","4","1","only 2 inflor ","7/13/2022","7/15/2022",NA,0,2,"1"
"101",3,9,"1","4","3","5",NA,NA,NA,NA,NA,NA,"0"
"102",3,10,"1","2","5","3",NA,NA,NA,NA,NA,NA,"0"
"103",3,11,"1","49","3","4",NA,NA,NA,NA,NA,NA,"0"
"104",3,12,"1","15","2","4",NA,NA,NA,NA,NA,NA,"0"
"105",3,13,"1","39","2","2",NA,"7/4/2022","7/6/2022","8/2/2022",1,3,"1"
"106",3,14,"1","2","2","5",NA,"6/29/2022","7/15/2022","7/27/2022",9,5,"1"
"107",3,15,"1","64","3","2",NA,NA,NA,NA,NA,NA,"0"
"108",3,16,"1","31","2","2",NA,NA,NA,NA,NA,NA,"0"
"109",3,17,"1","8","2","5",NA,"7/11/2022","7/15/2022","8/8/2022",4,5,"1"
"110",3,18,"1","17","1","1",NA,NA,NA,NA,NA,NA,"0"
"111",3,19,"1","18","1","4","second inflor too eaten ","7/13/2022","7/25/2022","8/4/2022",8,4,"1"
"112",3,20,"1","36","2","2",NA,"7/1/2022","7/13/2022","7/25/2022",6,3,"1"
"113",3,21,"1","7","3","1",NA,NA,NA,NA,NA,NA,"0"
"114",3,22,"1","69","2","1",NA,NA,NA,NA,NA,NA,"0"
"115",3,23,"1","30","5","4","only 2 inflor","7/22/2022","7/25/2022",NA,0,2,"1"
"116",3,24,"2","4","4","5",NA,"7/15/2022","7/25/2022","8/8/2022",13,5,"1"
"117",3,25,"2","16","3","4",NA,NA,NA,NA,NA,NA,"0"
"118",3,26,"2","62","3","1",NA,"7/15/2022","7/22/2022","8/8/2022",17,5,"1"
"119",3,27,"2","39","4","2",NA,NA,NA,NA,NA,NA,"0"
"120",3,28,"2","77","3","2",NA,"7/18/2022","7/25/2022","8/15/2022",17,7,"1"
"121",3,29,"2","4","4","4",NA,"7/13/2022","7/20/2022","8/8/2022",17,5,"1"
"122",3,30,"2","72","1","3",NA,NA,NA,NA,NA,NA,"0"
"123",3,31,"2","56","4","4",NA,NA,NA,NA,NA,NA,"0"
"124",3,32,"2","36","3","5",NA,NA,NA,NA,NA,NA,"0"
"125",3,33,"2","21","2","5",NA,NA,NA,NA,NA,NA,"0"
"126",3,34,"2","31","1","3",NA,"7/22/2022","7/29/2022","8/10/2022",7,4,"1"
"127",3,35,"2","77","5","5",NA,NA,NA,NA,NA,NA,"0"
"128",3,36,"2","72","2","3",NA,NA,NA,NA,NA,NA,"0"
"129",3,37,"2","56","2","1",NA,NA,NA,NA,NA,NA,"0"
"130",3,38,"2","46","2","3","only 2 inflor ","7/20/2022","7/20/2022","8/17/2022",2,2,"1"
"131",3,39,"2","49","5","3",NA,"7/6/2022","7/20/2022","8/10/2022",9,6,"1"
"132",3,40,"2","12","5","3",NA,NA,NA,NA,NA,NA,"0"
"133",3,41,"2","67","4","3",NA,"7/11/2022","7/22/2022","8/4/2022",3,3,"1"
"134",3,42,"2","46","2","2",NA,"7/29/2022","8/12/2022","8/8/2022",26,4,"1"
"135",3,43,"2","40","5","2",NA,NA,NA,NA,NA,NA,"0"
"136",3,44,"2","67","2","5","only 2 inflor ","7/18/2022","7/20/2022","8/15/2022",1,2,"1"
"137",3,45,"2","1","1","5",NA,NA,NA,NA,NA,NA,"0"
"138",3,46,"2","19","1","1",NA,"7/1/2022","7/6/2022","8/2/2022",3,3,"1"
"139",4,1,"1","21","4","1",NA,"7/1/2022","7/13/2022","8/2/2022",3,8,"1"
"140",4,2,"1","79","2","1",NA,NA,NA,NA,NA,NA,"0"
"141",4,3,"1","12","4","1",NA,NA,NA,NA,NA,NA,"0"
"142",4,4,"1","47","3","5",NA,NA,NA,NA,NA,NA,"0"
"143",4,5,"1","47","1","1",NA,NA,NA,NA,NA,NA,"0"
"144",4,6,"1","21","2","3",NA,"7/1/2022","7/22/2022","8/4/2022",7,4,"1"
"145",4,7,"1","1","2","1",NA,NA,NA,NA,NA,NA,"0"
"146",4,8,"1","1","2","2",NA,"7/15/2022","7/27/2022","8/8/2022",20,11,"1"
"147",4,9,"1","30","4","3",NA,NA,NA,NA,NA,NA,"0"
"148",4,10,"1","61","5","1",NA,NA,NA,NA,NA,NA,"0"
"149",4,11,"1","1","4","1","only 2 inflor, both too eaten ","7/18/2022","7/18/2022",NA,0,2,"0"
"150",4,12,"1","6","4","5",NA,NA,NA,NA,NA,NA,"0"
"151",4,13,"1","17","4","4",NA,NA,NA,NA,NA,NA,"0"
"152",4,14,"1","79","4","4",NA,NA,NA,NA,NA,NA,"0"
"153",4,15,"1","36","2","1",NA,NA,NA,NA,NA,NA,"0"
"154",4,16,"1","4","1","1",NA,NA,NA,NA,NA,NA,"0"
"155",4,17,"1","56","4","2","only 1 inflor and only 1 flower left ","7/18/2022","7/18/2022",NA,0,1,"1"
"156",4,18,"1","67","1","4",NA,NA,NA,NA,NA,NA,"0"
"158",4,20,"1","8","1","1",NA,NA,NA,NA,NA,NA,"0"
"159",4,21,"1","72","5","5",NA,NA,NA,NA,NA,NA,"0"
"160",4,22,"1","12","4","4",NA,NA,NA,NA,NA,NA,"0"
"161",4,23,"1","74","2","5",NA,NA,NA,NA,NA,NA,"0"
"162",4,24,"2","77","1","4",NA,NA,NA,NA,NA,NA,"0"
"163",4,25,"2","15","2","5","only 2 inflor","7/6/2022","7/8/2022",NA,0,2,"1"
"164",4,26,"2","56","2","3",NA,NA,NA,NA,NA,NA,"0"
"165",4,27,"2","32","1","2",NA,"7/8/2022","7/20/2022","8/8/2022",5,5,"1"
"166",4,28,"2","68","4","3",NA,NA,NA,NA,NA,NA,"0"
"167",4,29,"2","23","1","2",NA,NA,NA,NA,NA,NA,"0"
"168",4,30,"2","4","1","4",NA,NA,NA,NA,NA,NA,"0"
"169",4,31,"2","6","3","1",NA,"7/6/2022","7/11/2022",NA,0,4,"1"
"170",4,32,"2","72","5","3",NA,"6/29/2022","7/13/2022","7/27/2022",8,8,"1"
"171",4,33,"2","4","3","2",NA,NA,NA,NA,NA,NA,"0"
"172",4,34,"2","51","4","3",NA,"7/8/2022","7/25/2022","7/27/2022",18,11,"1"
"173",4,35,"2","20","3","2",NA,NA,NA,NA,NA,NA,"0"
"174",4,36,"2","7","5","5","only 2 inflor","7/22/2022","7/29/2022","8/19/2022",3,4,"1"
"175",4,37,"2","36","5","3",NA,NA,NA,NA,NA,NA,"0"
"176",4,38,"2","40","5","3","only 1 inflor","7/6/2022","7/6/2022",NA,0,1,"1"
"177",4,39,"2","18","1","1",NA,NA,NA,NA,NA,NA,"0"
"178",4,40,"2","36","1","4","only 1 inflor, only 2 flowers left  ","7/20/2022","7/22/2022",NA,0,1,"1"
"179",4,41,"2","36","1","5",NA,"7/1/2022","8/2/2022","7/29/2022",12,7,"1"
"180",4,42,"2","2","2","2",NA,NA,NA,NA,NA,NA,"0"
"181",4,43,"2","1","3","5",NA,"7/1/2022","7/13/2022","8/2/2022",11,7,"1"
"182",4,44,"2","61","4","4","only 1 inflor","7/6/2022","7/8/2022","7/25/2022",3,7,"1"
"183",4,45,"2","18","5","2",NA,NA,NA,NA,NA,NA,"0"
"184",4,46,"2","46","4","1","too eaten to be evaluated ","7/4/2022","7/11/2022",NA,0,2,"0"
"185",5,1,"1","77","1","1",NA,NA,NA,NA,NA,NA,"0"
"186",5,2,"1","21","5","3",NA,NA,NA,NA,NA,NA,"0"
"187",5,3,"1","19","3","5",NA,NA,NA,NA,NA,NA,"0"
"188",5,4,"1","56","3","3",NA,NA,NA,NA,NA,NA,"0"
"189",5,5,"1","32","1","3",NA,"7/11/2022","7/20/2022","8/8/2022",4,4,"1"
"190",5,6,"1","8","3","5",NA,"6/29/2022","7/27/2022","7/29/2022",23,15,"1"
"191",5,7,"1","11","1","2","only 1 inflor","6/29/2022","7/18/2022","8/2/2022",2,1,"1"
"192",5,8,"1","4","5","2",NA,"7/4/2022","7/20/2022","7/27/2022",4,12,"1"
"193",5,9,"1","28","1","3",NA,NA,NA,NA,NA,NA,"0"
"194",5,10,"1","29","1","3",NA,NA,NA,NA,NA,NA,"0"
"195",5,11,"1","3","2","4",NA,NA,NA,NA,NA,NA,"0"
"196",5,12,"1","23","1","5",NA,NA,NA,NA,NA,NA,"0"
"197",5,13,"1","21","3","1",NA,"7/8/2022","7/20/2022",NA,0,6,"1"
"198",5,14,"1","49","2","3",NA,NA,NA,NA,NA,NA,"0"
"199",5,15,"1","72","3","5",NA,NA,NA,NA,NA,NA,"0"
"200",5,16,"1","47","1","5",NA,NA,NA,NA,NA,NA,"0"
"201",5,17,"1","47","3","3",NA,NA,NA,NA,NA,NA,"0"
"202",5,18,"1","46","5","3",NA,"7/4/2022","7/11/2022","8/2/2022",4,3,"1"
"203",5,19,"1","21","3","5",NA,NA,NA,NA,NA,NA,"0"
"204",5,20,"1","9","1","5","only 2 inflor ","7/11/2022","7/13/2022",NA,0,2,"1"
"205",5,21,"1","47","4","5",NA,NA,NA,NA,NA,NA,"0"
"206",5,22,"1","13","1","4",NA,NA,NA,NA,NA,NA,"0"
"207",5,23,"2","3","4","3","only 2 inflor","7/6/2022","7/8/2022","8/2/2022",3,2,"1"
"208",5,24,"2","62","1","1",NA,NA,NA,NA,NA,NA,"0"
"209",5,25,"2","12","5","2",NA,NA,NA,NA,NA,NA,"0"
"210",5,26,"2","74","2","1",NA,NA,NA,NA,NA,NA,"0"
"211",5,27,"2","30","5","2",NA,"7/11/2022","7/29/2022","8/4/2022",11,7,"1"
"212",5,28,"2","79","1","3",NA,"7/11/2022","7/18/2022","8/2/2022",17,3,"1"
"213",5,29,"2","17","1","3",NA,NA,NA,NA,NA,NA,"0"
"214",5,30,"2","6","5","4",NA,"7/20/2022","7/27/2022","8/10/2022",13,6,"1"
"215",5,31,"2","77","4","2",NA,"7/1/2022","7/29/2022","8/2/2022",15,10,"1"
"216",5,32,"2","27","5","3",NA,NA,NA,NA,NA,NA,"0"
"217",5,33,"2","40","3","1",NA,NA,NA,NA,NA,NA,"0"
"218",5,34,"2","67","5","1",NA,NA,NA,NA,NA,NA,"0"
"219",5,35,"2","17","5","1",NA,NA,NA,NA,NA,NA,"0"
"220",5,36,"2","41","1","5",NA,NA,NA,NA,NA,NA,"0"
"221",5,37,"2","8","3","3",NA,NA,NA,NA,NA,NA,"0"
"222",5,38,"2","72","4","3","only 1 inflor ","7/11/2022","7/11/2022",NA,0,1,"1"
"223",5,39,"2","77","5","1",NA,"7/4/2022","7/27/2022","8/8/2022",3,16,"1"
"224",5,40,"2","14","1","4",NA,NA,NA,NA,NA,NA,"0"
"225",5,41,"2","2","1","5",NA,NA,NA,NA,NA,NA,"0"
"226",5,42,"2","39","5","3",NA,NA,NA,NA,NA,NA,"0"
"227",5,43,"2","36","3","4",NA,NA,NA,NA,NA,NA,"0"
"228",5,44,"2","69","1","4",NA,NA,NA,NA,NA,NA,"0"
"229",5,45,"2","64","1","2",NA,NA,NA,NA,NA,NA,"0"
"230",5,46,"2","29","5","4",NA,NA,NA,NA,NA,NA,"0"
"231",6,1,"1","36","4","4",NA,"7/4/2022","7/6/2022","8/2/2022",9,6,"1"
"232",6,2,"1","61","4","5",NA,"6/27/2022","7/22/2022","7/25/2022",16,14,"1"
"233",6,3,"1","2","2","3",NA,"7/8/2022","7/20/2022","8/4/2022",15,8,"1"
"234",6,4,"1","27","3","3",NA,NA,NA,NA,NA,NA,"0"
"235",6,5,"1","11","2","4",NA,"7/4/2022","7/15/2022","7/27/2022",12,9,"1"
"236",6,6,"1","12","1","4",NA,"7/11/2022","7/18/2022","8/4/2022",6,4,"1"
"237",6,7,"1","57","5","3",NA,NA,NA,NA,NA,NA,"0"
"238",6,8,"1","7","5","3",NA,NA,NA,NA,NA,NA,"0"
"239",6,9,"1","21","4","4",NA,NA,NA,NA,NA,NA,"0"
"240",6,10,"1","49","4","5",NA,NA,NA,NA,NA,NA,"0"
"241",6,11,"1","40","5","5",NA,NA,NA,NA,NA,NA,"0"
"242",6,12,"1","7","5","2",NA,NA,NA,NA,NA,NA,"0"
"243",6,13,"1","46","5","1",NA,NA,NA,NA,NA,NA,"0"
"244",6,14,"1","36","2","5",NA,NA,NA,NA,NA,NA,"0"
"245",6,15,"1","26","1","2",NA,NA,NA,NA,NA,NA,"0"
"246",6,16,"1","51","2","1",NA,NA,NA,NA,NA,NA,"0"
"247",6,17,"1","46","1","3",NA,NA,NA,NA,NA,NA,"0"
"248",6,18,"1","6","2","1",NA,NA,NA,NA,NA,NA,"0"
"249",6,19,"1","19","5","2",NA,"7/8/2022","7/27/2022","8/12/2022",4,12,"1"
"250",6,20,"1","3","5","1",NA,NA,NA,NA,NA,NA,"0"
"251",6,21,"1","29","4","5",NA,NA,NA,NA,NA,NA,"0"
"252",6,22,"1","79","4","1",NA,NA,NA,NA,NA,NA,"0"
"253",6,23,"2","21","2","2",NA,NA,NA,NA,NA,NA,"0"
"254",6,24,"2","77","4","5",NA,NA,NA,NA,NA,NA,"0"
"255",6,25,"2","72","2","4",NA,NA,NA,NA,NA,NA,"0"
"256",6,26,"2","1","1","3",NA,"6/29/2022","7/8/2022","7/27/2022",2,7,"1"
"257",6,27,"2","5","5","3",NA,"6/29/2022","7/8/2022","7/27/2022",1,6,"1"
"258",6,28,"2","36","1","1",NA,NA,NA,NA,NA,NA,"0"
"259",6,29,"2","62","3","4",NA,NA,NA,NA,NA,NA,"0"
"260",6,30,"2","12","5","4",NA,NA,NA,NA,NA,NA,"0"
"261",6,31,"2","18","4","3",NA,NA,NA,NA,NA,NA,"0"
"262",6,32,"2","18","2","1",NA,NA,NA,NA,NA,NA,"0"
"263",6,33,"2","14","1","1",NA,NA,NA,NA,NA,NA,"0"
"264",6,34,"2","57","5","2",NA,NA,NA,NA,NA,NA,"0"
"265",6,35,"2","1","3","4",NA,"7/8/2022","7/22/2022","8/8/2022",4,5,"1"
"266",6,36,"2","74","2","3",NA,NA,NA,NA,NA,NA,"0"
"267",6,37,"2","17","3","2",NA,NA,NA,NA,NA,NA,"0"
"268",6,38,"2","1","4","5","2ND inflor too eaten ","7/13/2022","7/22/2022","8/8/2022",6,5,"1"
"269",6,39,"2","62","4","1",NA,NA,NA,NA,NA,NA,"0"
"270",6,40,"2","17","2","1",NA,NA,NA,NA,NA,NA,"0"
"271",6,41,"2","42","1","2",NA,NA,NA,NA,NA,NA,"0"
"272",6,42,"2","4","3","4",NA,NA,NA,NA,NA,NA,"0"
"273",6,43,"2","79","2","5",NA,NA,NA,NA,NA,NA,"0"
"274",6,44,"2","17","5","2",NA,NA,NA,NA,NA,NA,"0"
"275",6,45,"2","18","2","4",NA,NA,NA,NA,NA,NA,"0"
"276",6,46,"2","7","4","3",NA,NA,NA,NA,NA,NA,"0"
"277",7,1,"1","3","2","5",NA,"7/1/2022","7/6/2022","7/25/2022",3,7,"1"
"278",7,2,"1","6","2","3",NA,NA,NA,NA,NA,NA,"0"
"279",7,3,"1","7","1","3",NA,NA,NA,NA,NA,NA,"0"
"280",7,4,"1","47","2","2",NA,NA,NA,NA,NA,NA,"0"
"281",7,5,"1","62","1","5",NA,NA,NA,NA,NA,NA,"0"
"282",7,6,"1","64","2","3",NA,NA,NA,NA,NA,NA,"0"
"283",7,7,"1","67","2","1",NA,NA,NA,NA,NA,NA,"0"
"284",7,8,"1","5","5","4",NA,"6/27/2022","7/4/2022","7/20/2022",13,6,"1"
"285",7,9,"1","39","2","4",NA,NA,NA,NA,NA,NA,"0"
"286",7,10,"1","79","3","4",NA,NA,NA,NA,NA,NA,"0"
"287",7,11,"1","47","4","4",NA,NA,NA,NA,NA,NA,"0"
"288",7,12,"1","4","4","2",NA,NA,NA,NA,NA,NA,"0"
"289",7,13,"1","19","2","2",NA,NA,NA,NA,NA,NA,"0"
"290",7,14,"1","46","5","5",NA,NA,NA,NA,NA,NA,"0"
"291",7,15,"1","7","4","4",NA,NA,NA,NA,NA,NA,"0"
"292",7,16,"1","68","1","5",NA,NA,NA,NA,NA,NA,"0"
"293",7,17,"1","5","2","4",NA,NA,NA,NA,NA,NA,"0"
"294",7,18,"1","5","3","2",NA,NA,NA,NA,NA,NA,"0"
"295",7,19,"1","29","1","2",NA,NA,NA,NA,NA,NA,"0"
"296",7,20,"1","79","3","3",NA,NA,NA,NA,NA,NA,"0"
"297",7,21,"1","35","3","2",NA,NA,NA,NA,NA,NA,"0"
"298",7,22,"1","35","4","4",NA,NA,NA,NA,NA,NA,"0"
"299",7,23,"2","14","4","4",NA,NA,NA,NA,NA,NA,"0"
"300",7,24,"2","7","2","3",NA,NA,NA,NA,NA,NA,"0"
"301",7,25,"2","12","2","4",NA,NA,NA,NA,NA,NA,"0"
"302",7,26,"2","67","1","5",NA,NA,NA,NA,NA,NA,"0"
"303",7,27,"2","30","2","4",NA,NA,NA,NA,NA,NA,"0"
"304",7,28,"2","8","2","2",NA,NA,NA,NA,NA,NA,"0"
"305",7,29,"2","39","2","5",NA,"7/13/2022","7/18/2022","8/8/2022",6,3,"1"
"306",7,30,"2","56","3","5",NA,NA,NA,NA,NA,NA,"0"
"307",7,31,"2","62","2","3",NA,NA,NA,NA,NA,NA,"0"
"308",7,32,"2","5","1","4",NA,NA,NA,NA,NA,NA,"0"
"309",7,33,"2","12","2","2",NA,"7/13/2022","7/27/2022","8/8/2022",20,10,"1"
"310",7,34,"2","57","4","5",NA,"7/8/2022","7/20/2022","8/2/2022",21,6,"1"
"311",7,35,"2","62","3","5",NA,"7/4/2022","8/4/2022","8/2/2022",11,4,"1"
"312",7,36,"2","79","5","1",NA,NA,NA,NA,NA,NA,"0"
"313",7,37,"2","1","1","1",NA,NA,NA,NA,NA,NA,"0"
